,AAPL-BMK-MA,AAPL-MAFlat,AAPL-MAShort,AAPL-BMK-BB,AAPL-BB,CAD-BMK-MA,CAD-MAFlat,CAD-MAShort,CAD-BMK-BB,CAD-BB,EXC-BMK-MA,EXC-MAFlat,EXC-MAShort,EXC-BMK-BB,EXC-BB,FBNDX-BMK-MA,FBNDX-MAFlat,FBNDX-MAShort,FBNDX-BMK-BB,FBNDX-BB,GBP-BMK-MA,GBP-MAFlat,GBP-MAShort,GBP-BMK-BB,GBP-BB,GE-BMK-MA,GE-MAFlat,GE-MAShort,GE-BMK-BB,GE-BB,INTC-BMK-MA,INTC-MAFlat,INTC-MAShort,INTC-BMK-BB,INTC-BB,PFE-BMK-MA,PFE-MAFlat,PFE-MAShort,PFE-BMK-BB,PFE-BB,SPGSCI-BMK-MA,SPGSCI-MAFlat,SPGSCI-MAShort,SPGSCI-BMK-BB,SPGSCI-BB,SPY-BMK-MA,SPY-MAFlat,SPY-MAShort,SPY-BMK-BB,SPY-BB,VBTIX-BMK-MA,VBTIX-MAFlat,VBTIX-MAShort,VBTIX-BMK-BB,VBTIX-BB,XPT-BMK-MA,XPT-MAFlat,XPT-MAShort,XPT-BMK-BB,XPT-BB
EXC-MAShort,-0.09457316021320106,0.019238489731404313,0.1252491987023946,-0.09457316021320106,-0.07468749713430116,-0.09987249222804885,0.017818282150061728,0.12439873647279592,-0.09987249222804885,-0.05777176315770751,-0.027830141622719552,0.697211342193999,1.0,-0.027830141622719563,-0.1388094710496555,0.012033002407544466,0.01692525223298013,0.012042942961029576,0.012033002407544466,0.011061237718512789,-0.061475897026252,0.009496532807962749,0.07314625933588641,-0.061475897026252,-0.06427944980086414,-0.11951543032367486,0.0027702304565122653,0.12236660091245108,-0.11951543032367486,-0.13887069527044035,-0.13529049901628495,0.014725725554716705,0.15299497427219233,-0.13529049901628495,-0.10168277715684475,-0.06868057652406852,-0.01454525088796831,0.05082402889520437,-0.06868057652406852,-0.05805814585074813,-0.08598002317800572,-0.016534957056226585,0.06170966294732006,-0.08598002317800572,-0.05703264204369439,-0.16977220874342225,0.06817957423025126,0.2510193018884905,-0.16977220874342225,-0.1497321129921365,0.05053027775465443,-0.007991331811457579,-0.06262276862782788,0.05053027775465443,0.030958336507385133,-0.048144383730173566,0.0049792866416929395,0.05519979927108604,-0.048144383730173566,-0.03257147284685162
EXC-BMK-BB,0.1728100899542294,0.09229763200255534,-0.02533014667488301,0.1728100899542294,0.05057729783504638,0.27392903821632336,0.1270383186329112,-0.09911703972283598,0.27392903821632336,0.06265279622085482,1.0,0.6971844825531169,-0.027830141622719563,1.0,0.19778797620935748,-0.030402181590967498,-0.02844174208327424,-0.010052418133477374,-0.030402181590967498,0.04867200906338155,0.13856805752521625,0.038125195133236756,-0.09186717166245804,0.13856805752521625,0.03189028012318521,0.3006834758558633,0.1567032850396993,-0.14082577228595425,0.3006834758558633,0.15238678782963022,0.23379699172122398,0.1303130365739668,-0.0771436382796243,0.23379699172122398,0.06733902182035212,0.31755662567241066,0.22398257811211872,-0.042568883982957446,0.31755662567241066,0.1822734953811322,0.17841027344841473,0.072024402148539,-0.07263083417863637,0.17841027344841473,0.0781178930121663,0.4677120886612861,0.26603939892057715,-0.15064455810689784,0.4677120886612861,0.2830818381100155,-0.0787746727971369,-0.04645622531968307,0.008461180559416116,-0.0787746727971369,0.06944353262834455,0.14331911417516302,0.08668261924377098,-0.02083623675357733,0.14331911417516302,0.0642309184475852
EXC-BB,0.08540941784007747,0.015807260623128042,-0.060123790660454646,0.08540941784007747,0.07591649515014423,0.10878272949846743,0.04469149997200496,-0.04728531977249239,0.10878272949846743,0.1257959485667421,0.19778797620935748,0.04229241903677595,-0.1388094710496555,0.19778797620935748,1.0,0.002910110483097856,-0.004565007360685932,-0.009405827332947793,0.002910110483097856,0.040628592821689825,0.06581388226645234,0.018797237356976436,-0.04278750355266801,0.06581388226645234,0.025750549938871086,0.11177307832164665,0.018059231347130493,-0.09336587041476894,0.11177307832164665,0.13232416441900058,0.12389914453190518,0.03270707909135588,-0.08458184411964408,0.12389914453190518,0.12803054353156787,0.12313253409053948,0.052306170300707604,-0.05891619348950283,0.12313253409053948,0.17519594753802678,0.07780641310171652,0.020807912547724378,-0.047254742739015955,0.07780641310171652,0.07511571957389458,0.2054712898869939,0.03464783399637909,-0.16417288978265815,0.2054712898869939,0.3011596191045071,-0.03782690227111911,0.0077765661333754335,0.049594893394325774,-0.03782690227111911,0.02181962858228172,0.07257848848815095,0.03644394689701313,-0.02108734827181555,0.07257848848815095,0.06931445561583145
FBNDX-BMK-MA,-0.13505576384852916,-0.10090162511628602,-0.026145613398183023,-0.13505576384852916,-0.03846952835722579,-0.025402695174511394,-0.06698463547968117,-0.06677825351133741,-0.025402695174511394,-0.023705176557847783,-0.030402181590967498,-0.013173021394542744,0.012033002407544466,-0.030402181590967498,0.002910110483097856,1.0,0.7113591952415455,0.011733969393022514,1.0,0.1153674991030581,0.08805605690568488,0.06940679523319289,-0.0029727072393629546,0.08805605690568488,-0.02712249784273555,-0.17815051065388823,-0.11564436803715368,0.06016941202131112,-0.17815051065388823,-0.07424820741649493,-0.1635631884329811,-0.13022065400270585,0.007019927887837152,-0.1635631884329811,-0.042917292141159774,-0.10335585347070118,-0.047883266464413876,0.044569333785278595,-0.10335585347070118,-0.03103500490591607,-0.05840178035855254,-0.026805672793541895,0.019030863626542063,-0.05840178035855254,0.006803165969799545,-0.20913530360715255,-0.15554913343619994,0.0237529803898459,-0.20913530360715255,-0.09558079806817246,0.9007303536782205,0.6787958479523124,0.12664564065567668,0.9007303536782205,0.05183835341306595,0.0464002990130191,0.022084425651262105,-0.015198368210693893,0.0464002990130191,0.018093203728091
FBNDX-MAFlat,-0.09875004050846468,-0.08377336164346949,-0.03508044122242279,-0.09875004050846468,-0.003884471786512697,-0.05731790468675698,-0.07020538630269738,-0.0392936691745774,-0.05731790468675698,-0.04953622726262387,-0.02844174208327424,-0.008258532534898128,0.01692525223298013,-0.02844174208327424,-0.004565007360685932,0.7113591952415455,1.0,0.7111273191911119,0.7113591952415455,-0.04398201273743209,0.03863586078362514,0.05001170759422758,0.022681485328488814,0.03863586078362514,-0.03570487755058539,-0.16614922783612304,-0.10950991527456602,0.05442602129592157,-0.16614922783612304,-0.05688802501783638,-0.13802088844999966,-0.09441494193648844,0.02452131966787279,-0.13802088844999966,-0.02072604574540706,-0.09680088405921983,-0.040373260145103854,0.0472346242187593,-0.09680088405921983,-0.016164962771105074,-0.05152409420591144,-0.030708435294995402,0.0064162380405478605,-0.05152409420591144,-0.020414364212975766,-0.19607917422745585,-0.1288358987887554,0.0425327175538923,-0.19607917422745585,-0.07710797943121171,0.6597526455839036,0.7884835175418292,0.5336221373098035,0.6597526455839036,0.006256049751663177,0.013200409822682776,0.00555953981889399,-0.0053461565993879814,0.013200409822682776,0.007999904564676023
FBNDX-MAShort,-0.005393203011231296,-0.018251062735915934,-0.023755443650731796,-0.005393203011231296,0.03295583882791926,-0.056136382285258433,-0.032875890479291535,0.01089649972818404,-0.056136382285258433,-0.04676328851739756,-0.010052418133477374,0.0014278064782884746,0.012042942961029576,-0.010052418133477374,-0.009405827332947793,0.011733969393022514,0.7111273191911119,1.0,0.011733969393022473,-0.17798027421688675,-0.03311728568941716,0.001722891335054593,0.03524319253339072,-0.03311728568941716,-0.02366663364486029,-0.05817451034920307,-0.04011941038885395,0.01724370803837144,-0.05817451034920307,-0.0066629646862952085,-0.0327478391780187,-0.004062278204826199,0.0278647981638474,-0.0327478391780187,0.013444176282070478,-0.034330583605875827,-0.009540754659821335,0.022617620740579793,-0.034330583605875827,0.008047084689891959,-0.01488328851392688,-0.016875006267161933,-0.009908680677863223,-0.01488328851392688,-0.03584944235364753,-0.06976142658626726,-0.027696864365225986,0.03675140755564226,-0.06976142658626726,-0.014090666866567344,0.0376148777013367,0.44277196581934386,0.6325090918164485,0.0376148777013367,-0.04295502573574584,-0.02763524848027627,-0.014182107119293021,0.00759733644851316,-0.02763524848027627,-0.006717587444367968
FBNDX-BMK-BB,-0.13505576384852916,-0.10090162511628602,-0.026145613398183023,-0.13505576384852916,-0.03846952835722579,-0.025402695174511394,-0.06698463547968117,-0.06677825351133741,-0.025402695174511394,-0.023705176557847783,-0.030402181590967498,-0.013173021394542744,0.012033002407544466,-0.030402181590967498,0.002910110483097856,1.0,0.7113591952415455,0.011733969393022473,1.0,0.1153674991030581,0.08805605690568488,0.06940679523319289,-0.0029727072393629546,0.08805605690568488,-0.02712249784273555,-0.17815051065388823,-0.11564436803715368,0.06016941202131112,-0.17815051065388823,-0.07424820741649493,-0.1635631884329811,-0.13022065400270585,0.007019927887837152,-0.1635631884329811,-0.042917292141159774,-0.10335585347070118,-0.047883266464413876,0.044569333785278595,-0.10335585347070118,-0.03103500490591607,-0.05840178035855254,-0.026805672793541895,0.019030863626542063,-0.05840178035855254,0.006803165969799545,-0.20913530360715255,-0.15554913343619994,0.0237529803898459,-0.20913530360715255,-0.09558079806817246,0.9007303536782205,0.6787958479523124,0.12664564065567668,0.9007303536782205,0.05183835341306595,0.0464002990130191,0.022084425651262105,-0.015198368210693893,0.0464002990130191,0.018093203728091
FBNDX-BB,0.021426408581489184,0.01413817553394695,0.0011621111205472304,0.021426408581489184,-0.006909596799681382,0.08841511442225113,0.03916889071874642,-0.034516686576064125,0.08841511442225113,0.06480605999769616,0.04867200906338155,0.04283759349661001,0.011061237718512789,0.04867200906338155,0.040628592821689825,0.1153674991030581,-0.04398201273743209,-0.17798027421688675,0.1153674991030581,1.0,0.04862383833355863,0.029892502733078623,-0.011983875468150263,0.04862383833355863,0.048163729610991475,0.0367347271318963,0.07218851293418943,0.03692745906927961,0.0367347271318963,0.01295222487905562,0.0225038773555951,0.053870093674799564,0.042256056487115785,0.0225038773555951,0.01036569975689967,0.04457935861988231,0.045800823683713174,0.011651595489577138,0.04457935861988231,0.05304615044240677,0.0481554075039547,0.033266566781461754,0.0007124708570938436,0.0481554075039547,0.03802057403008083,0.08264770163588951,0.07160144418064879,0.0026859177098379956,0.08264770163588951,0.06300827228031639,0.10031612000081246,-0.0036031306532343078,-0.10576507395684533,0.10031612000081246,0.7043810291369091,0.0396179364537828,0.0188652736995826,-0.012964170647206837,0.0396179364537828,0.023998606256264605
GBP-BMK-MA,0.03440109951229515,0.026314500195233046,0.007638785263303612,0.03440109951229515,0.006927268088443274,0.4374158910267201,0.27329109070642216,-0.06134372446817101,0.4374158910267201,-0.008437714960699236,0.13856805752521625,0.05528452855045698,-0.061475897026252,0.13856805752521625,0.06581388226645234,0.08805605690568488,0.03863586078362514,-0.03311728568941716,0.08805605690568488,0.04862383833355863,1.0,0.613261246982414,-0.24831183678131927,1.0,0.07582270017541437,0.11128398649903085,0.0858994151315996,-0.02364462837290842,0.11128398649903085,0.04022593292524623,0.05258828639791658,0.05145902976889173,0.009272759592322592,0.05258828639791658,-0.0175964927759126,0.07446089588463595,0.08383792051422477,0.028469406811509494,0.07446089588463595,0.04063149158886972,0.242056050488433,0.17750396473989935,0.018698088557156486,0.242056050488433,0.03713198313572391,0.17479623682562218,0.11628607814814862,-0.03620671377448301,0.17479623682562218,0.05781114437625744,0.05553335141200414,0.01407937288842917,-0.0342222655986548,0.05553335141200414,0.02574272427598215,0.25626961445095797,0.1795489134459671,-0.002552144288473501,0.25626961445095797,0.03561114990709612
GBP-MAFlat,0.00047068202075966356,0.03780850744501055,0.059907728309118405,0.00047068202075966356,0.020316138704612637,0.2432233073780832,0.28531592491099594,0.149407287890771,0.2432233073780832,-0.05222720691407158,0.038125195133236756,0.034151856654505104,0.009496532807962749,0.038125195133236756,0.018797237356976436,0.06940679523319289,0.05001170759422758,0.001722891335054593,0.06940679523319289,0.029892502733078623,0.613261246982414,1.0,0.6128611898335972,0.613261246982414,-0.06433713446161066,0.011557344595117196,0.07025313799492151,0.06013483657977643,0.011557344595117196,0.01276317180706976,-0.007972363501665882,0.03334820894419789,0.04806221439211504,-0.007972363501665882,-0.016750033268612775,0.01174057141583034,0.0456034331551309,0.04424867807723612,0.01174057141583034,-0.016933895767265002,0.13608034230919822,0.15458341295348488,0.09102645063790292,0.13608034230919822,-0.029854394257361513,0.0321940024809603,0.08944270517603946,0.07440018846489045,0.0321940024809603,-0.01238630842237791,0.07035495981972488,0.042430697226325094,-0.006134345212878783,0.07035495981972488,0.030428139130472785,0.16402119479095403,0.17491878496013413,0.08318339173923274,0.16402119479095403,-0.0249335505921422
GBP-MAShort,-0.03383739270853445,0.020042129706101,0.06582686164836392,-0.03383739270853445,0.01798497954505872,-0.13930762816128345,0.07650252519913543,0.24459547290226052,-0.13930762816128345,-0.05560850713977254,-0.09186717166245804,-0.013423667466690313,0.07314625933588641,-0.09186717166245804,-0.04278750355266801,-0.0029727072393629546,0.022681485328488814,0.03524319253339072,-0.0029727072393629546,-0.011983875468150263,-0.24831183678131927,0.6128611898335972,1.0,-0.24831183678131918,-0.1547532112511746,-0.09715421854653161,0.0002227059847986574,0.09740108767605814,-0.09715421854653161,-0.024589455076498873,-0.06238597012248309,-0.010582229364279955,0.049665339664947634,-0.06238597012248309,-0.002938220194302824,-0.06009195292617215,-0.02794448656436941,0.02578436611847314,-0.06009195292617215,-0.06141457175635868,-0.0752672243250125,0.012001721674416427,0.09292607586182372,-0.0752672243250125,-0.07375891518335453,-0.13538338743553655,-0.006642515638441132,0.12746261660257105,-0.13538338743553655,-0.07302398158210226,0.030725574836541758,0.037950550366812726,0.026712778905209747,0.030725574836541758,0.011563116304368503,-0.055220733947329195,0.0348945264853558,0.10456621967216784,-0.055220733947329195,-0.0662027413553874
GBP-BMK-BB,0.03440109951229515,0.026314500195233046,0.007638785263303612,0.03440109951229515,0.006927268088443274,0.4374158910267201,0.27329109070642216,-0.06134372446817101,0.4374158910267201,-0.008437714960699236,0.13856805752521625,0.05528452855045698,-0.061475897026252,0.13856805752521625,0.06581388226645234,0.08805605690568488,0.03863586078362514,-0.03311728568941716,0.08805605690568488,0.04862383833355863,1.0,0.613261246982414,-0.24831183678131918,1.0,0.07582270017541437,0.11128398649903085,0.0858994151315996,-0.02364462837290842,0.11128398649903085,0.04022593292524623,0.05258828639791658,0.05145902976889173,0.009272759592322592,0.05258828639791658,-0.0175964927759126,0.07446089588463595,0.08383792051422477,0.028469406811509494,0.07446089588463595,0.04063149158886972,0.242056050488433,0.17750396473989935,0.018698088557156486,0.242056050488433,0.03713198313572391,0.17479623682562218,0.11628607814814862,-0.03620671377448301,0.17479623682562218,0.05781114437625744,0.05553335141200414,0.01407937288842917,-0.0342222655986548,0.05553335141200414,0.02574272427598215,0.25626961445095797,0.1795489134459671,-0.002552144288473501,0.25626961445095797,0.03561114990709612
